X	Y	Nom	NUMERO_DEPARTEMENT	CODE_BASS	CODE_INSEE	IDIndexDATA	CLEGCES	NOM_PLAN_DEPLOIEMENT	CODE_REGION	CODE_INSEE_SGA	champ_graphe	longueur_specifique	vitesse_specifique	NUMERO_INSEE	GROUPEMENT	NOM_ZONE_OP	SECTEUR_SINISTRE	OBSERVATIONS	DFCI_ID_MOT	AUTRE_APPELATION	AUTRE_APPELATION_1	AUTRE_APPELATION_2	AUTRE_APPELATION_3	TYPE_AUTRE_APPELATION	TYPE_AUTRE_APPELATION_1	TYPE_AUTRE_APPELATION_2	TYPE_AUTRE_APPELATION_3	ADRESSE	Longueur specifique	Vitesse specifique	IdZoneGeo	z	type	ID
       1219063.550538667	       6199653.616285924									20				20096																		0	10	
       1219055.9538729321	       6199655.168461491									20				20096																		0	10	
       1219061.8133163243	       6199644.955537456									20				20096																		0	10	
       1219054.5235539118	       6199641.141265653									20				20096																		0	10	
       1219070.8862112372	       6199659.526291341									20				20096																		0	10	
       1219062.1294213338	       6199666.076267644									20				20096																		0	10	
       1219049.4054941689	       6199660.778321599									20				20096																		0	10	
       1219075.5070663292	       6199666.536804433									20				20096																		0	10	
       1219047.4245478106	       6199645.703995567									20				20096																		0	10	
       1219039.0786479819	       6199664.441394753									20				20096																		0	10	
       1219056.7632509263	       6199663.337080137									20				20096																		0	10	
       1219047.0012743538	       6199671.224640317									20				20096																		0	10	
       1219055.4202041985	       6199676.487952055									20				20096																		0	10	
       1219049.3123836473	       6199631.085590115									20				20096																		0	10	
       1219042.0017369837	       6199654.272212295									20				20096																		0	10	
       1219031.4751872802	       6199668.895322652									20				20096																		0	10	
       1219030.3881101876	       6199676.333845755									20				20096																		0	10	
       1219028.715468309	       6199656.903467421									20				20096																		0	10	
       1219048.1422635647	       6199683.362215635									20				20096																		0	10	
       1219040.2857172717	       6199677.923344271									20				20096																		0	10	
       1219063.4254710865	       6199674.45244497									20				20096																		0	10	
       1219022.006924021	       6199660.356807914									20				20096																		0	10	
       1219069.5491468704	       6199684.77105263									20				20096																		0	10	
       1219070.9354031908	       6199647.8471753765									20				20096																		0	10	
       1219076.4278658782	       6199648.575323215									20				20096																		0	10	
       1219077.7534369805	       6199692.15249871									20				20096																		0	10	
       1219029.7972030914	       6199685.552216058									20				20096																		0	10	
       1219040.5715849358	       6199686.736329152									20				20096																		0	10	
       1219062.730760468	       6199682.362801127									20				20096																		0	10	
       1219051.8050460152	       6199692.968701996									20				20096																		0	10	
       1219081.8811736705	       6199657.7679785155									20				20096																		0	10	
       1219042.440190046	       6199700.697611638									20				20096																		0	10	
       1219084.9618675916	       6199665.6780625535									20				20096																		0	10	
       1219088.1857166584	       6199654.998276229									20				20096																		0	10	
       1219069.5559934918	       6199694.346989631									20				20096																		0	10	
       1219032.6366073883	       6199705.10872948									20				20096																		0	10	
       1219034.0217772203	       6199696.390949396									20				20096																		0	10	
       1219097.0636921967	       6199662.243519485									20				20096																		0	10	
       1219061.284918506	       6199629.696738697									20				20096																		0	10	
       1219037.3184787906	       6199652.392482217									20				20096																		0	10	
       1219021.5070790676	       6199676.560614575									20				20096																		0	10	
       1219023.7714064568	       6199667.461766514									20				20096																		0	10	
       1219041.8258443929	       6199707.023840173									20				20096																		0	10	
       1219100.3424488713	       6199674.082723099									20				20096																		0	10	
       1219099.3935190747	       6199651.030134845									20				20096																		0	10	
       1219061.8192894345	       6199692.087301072									20				20096																		0	10	
       1219056.3859118097	       6199683.638461643									20				20096																		0	10	
       1219083.2276559537	       6199644.011206409									20				20096																		0	10	
       1219094.0314260458	       6199645.255740637									20				20096																		0	10	
       1219060.9713179446	       6199701.2257008385									20				20096																		0	10	
       1219038.9890249413	       6199644.795780411									20				20096																		0	10	
       1219091.3114432122	       6199665.405888951									20				20096																		0	10	
       1219072.3442988284	       6199623.184051552									20				20096																		0	10	
       1219044.4004053017	       6199635.5128734885									20				20096																		0	10	
       1219058.437223744	       6199714.918345517									20				20096																		0	10	
       1219079.6087489913	       6199636.189705929									20				20096																		0	10	
       1219070.6111899337	       6199677.330885832									20				20096																		0	10	
       1219037.0475186193	       6199636.352619878									20				20096																		0	10	
       1219016.7819455506	       6199689.684886779									20				20096																		0	10	
       1219074.9144531982	       6199641.9865971375									20				20096																		0	10	
       1219032.4528429743	       6199647.365710556									20				20096																		0	10	
       1219077.1090216439	       6199675.642899915									20				20096																		0	10	
       1219004.408564173	       6199687.760876047									20				20096																		0	10	
       1219108.0784516966	       6199663.428146424									20				20096																		0	10	
       1219089.24471118	       6199672.483555073									20				20096																		0	10	
       1219026.55853555	       6199643.844136154									20				20096																		0	10	
       1219079.7925246288	       6199624.840545419									20				20096																		0	10	
       1219026.6450812565	       6199696.301075339									20				20096																		0	10	
       1219076.4148063557	       6199683.238688137									20				20096																		0	10	
       1219012.9084250513	       6199674.0041682115									20				20096																		0	10	
       1219067.2364637451	       6199636.061197329									20				20096																		0	10	
       1219042.7498453215	       6199623.532311619									20				20096																		0	10	
       1219037.020730822	       6199627.9076724695									20				20096																		0	10	
       1219105.2449381545	       6199669.704668923									20				20096																		0	10	
       1218999.8259095335	       6199668.890285767									20				20096																		0	10	
       1219025.1116993418	       6199628.438206594									20				20096																		0	10	
       1219089.3154480988	       6199691.248623769									20				20096																		0	10	
       1219058.480330033	       6199707.284783383									20				20096																		0	10	
       1219016.9864615456	       6199649.351023669									20				20096																		0	10	
       1219103.4644301373	       6199657.203888802									20				20096																		0	10	
       1219022.946466152	       6199649.815224573									20				20096																		0	10	
       1219012.370528263	       6199656.738287712									20				20096																		0	10	
       1219016.3023588988	       6199631.1804897785									20				20096																		0	10	
